date_from,date_to,type,venue,place,role,venue_page,material
2022/10/28,2022/10/28,webinar,"OpenAIRE OAWeek - Discover OpenCitations, an infrastructure for open bibliographical metadata",Online,presenting: “OpenCitations an infrastructure for open bibliographical metadata”,,Presentation::https://doi.org/10.5281/zenodo.7299699
2022/09/20,2022/09/23,conference,The 26th International Conference on Theory and Practice of Digital Libraries (TPDL 2022),"Padova, Italy",presenting “Enabling Portability and Reusability of Open Science Infrastructures”,http://tpdl2022.dei.unipd.it/index.html,Article::https://doi.org/10.1007/978-3-031-16802-4_36_;;_Presentation::https://doi.org/10.5281/zenodo.7111425
2022/07/25,2022/07/29,conference,The Digital Humanities conference (DH 2022),Online,presenting “Why arts and humanities publications get retracted: a topic modeling analysis of the retraction notices”,https://dh2022.adho.org/,Article::https://dh2022.dhii.asia/dh2022bookofabsts.pdf_;;_Presentation::https://doi.org/10.5281/zenodo.6857175
2022/07/06,2022/07/08,technical meeting,OpenAIRE Technical Meeting: OpenAIRE-Nexus and EOSC-Future,"Athens, Greece","presenting OpenCitations, as part of the OpenAIRE Nexus project",https://www.openaire.eu/openaire-nexus-project,
2022/07/05,2022/07/05,phd defense,PhD dissertation defense,"Bologna, Italy","presenting and defending my PhD thesis","",Presentation::https://doi.org/10.5281/zenodo.6810428_;;_Thesis::http://amsdottorato.unibo.it/10024
2022/06/13,2022/06/16,conference,The International Digital Curation Conference (IDCC22),Online,"presenting “OpenCitations, an open e-infrastructure to foster maximum reuse of citation data”",https://www.dcc.ac.uk/events/idcc22,Article::https://doi.org/10.2218/ijdc.v17i1.818_;;_Presentation::https://doi.org/10.5281/zenodo.6622077
2022/06/01,2022/06/03,conference,AIUCD 2022,"Lecce, Italy ",attending the conference,http://conference.unisalento.it/ocs/index.php/aiucd2022/index/pages/view/convegno,
2021/09/16,2021/09/16,kickoff,ALMA-AI Humanistic AI,"Bologna, Italia",presenting: “Citation Intent Classification: challenges and experiments”,http://www.cs.unibo.it/~diiorio/kickoff-hai.html,
2021/01/19,2021/01/22,conference,AIUCD 2021 – DHs for society,Online, presenting: “MITAO: a tool for enabling scholars in the humanities to use Topic Modeling in their studies”,https://aiucd2021.labcd.unipi.it/en/home-english/,Article::https://doi.org/10.6092/UNIBO/AMSACTA/6712
2020/09/23,2020/09/25,conference,DHA 2020,Online,"participating in the ACDH-CH OPEN DATA VIRTUAL HACKATHON (awarded in the top 3 submissions)",https://www.oeaw.ac.at/acdh/detail/event/acdh-ch-open-data-virtual-hackathon-round-two,Project website::https://br0ast.github.io/ACDH-2020
2020/11/19,2020/11/20,workshop,The Open Knowledge Base - Netherlands workshop,Online,Attending the workshop,https://openworking.wordpress.com/2020/05/29/what-is-an-open-knowledge-base-anyw ay/,
2019/10/15,2019/10/17,conference,FORCE-2019,"Edinburgh, Scotland","presenting “COCI, the OpenCitations Index of Crossref open DOI-to-DOI citations”",https://www.force11.org/meetings/force2019,Presentation::https://doi.org/10.5281/zenodo.3502870
2019/09/02,2019/09/05,conference,ISSI-2019,"Rome, Italy",presenting my PhD research at the doctoral forum,https://www.issi-society.org/publications/issi-conference-proceedings/proceedings-of-issi -2019/,
2019/06/30,2019/07/06,summer school,ISWS-2019,"Bertinoro, Italy",attending the summer school as a student,https://2022-semanticwebschool.org/,
2018/11/27,2018/11/29,conference,WikiCite-2018 Conference,"Berkeley, California, USA",presenting the software OSCAR and LUCINDA,https://meta.wikimedia.org/wiki/WikiCite_2018,
2018/04/23,2018/04/27,conference,The Web Conference,"Lyon, France","presenting OSCAR at the workshop “The Semantics, Analytics, Visualisation: Enhancing Scholarly Dissemination (SAVE-SD) Workshop”",https://save-sd.github.io/2018/index.html,Article::https://doi.org/10.1007/978-3-030-01379-0_9
